fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,status,match_link,last_updated
nPa6zpQk,07.02.2026,07.02.2026 11:00,Unknown,FK Humenne,Slavia TU Kosice,INA42qzi,Glk4EkTo,0,3,finished,,https://www.flashscore.com/match/football/fk-humenne-INA42qzi/slavia-kosice-Glk4EkTo/?mid=nPa6zpQk,2026-02-13T12:28:10.232100
f1x9ymmI,07.02.2026,07.02.2026 10:00,Unknown,Hradec Kralove B,Dukla Prague B,KAja9Zgj,biGSxbBS,1,1,finished,,https://www.flashscore.com/match/football/dukla-prague-KAja9Zgj/hradec-kralove-biGSxbBS/?mid=f1x9ymmI,2026-02-13T12:28:11.327884
OQsGIxye,08.02.2026,08.02.2026 10:00,Unknown,Kolin,Horni Redice,Ghs8FE7N,EuEPYusS,0,1,finished,,https://www.flashscore.com/match/football/horni-redice-Ghs8FE7N/kolin-EuEPYusS/?mid=OQsGIxye,2026-02-13T12:28:13.098832
QDxLQlkm,07.02.2026,07.02.2026 10:00,WORLD: - Club Friendly,Kosmonosy (Cze),Jablonec B (Cze),KQOdJ0e1,8f2RCz82,,,scheduled,,https://www.flashscore.com/match/football/jablonec-KQOdJ0e1/kosmonosy-8f2RCz82/?mid=QDxLQlkm,2026-02-13T12:28:13.753641
GdC8BAI5,07.02.2026,07.02.2026 10:00,Unknown,Meteor Prague,Zapy,nsxXAIia,29pnwlUc,1,4,finished,,https://www.flashscore.com/match/football/meteor-prague-nsxXAIia/zapy-29pnwlUc/?mid=GdC8BAI5,2026-02-13T12:28:14.447650
lrIHMXk3,07.02.2026,07.02.2026 14:00,WORLD: - Club Friendly,Noah (Arm),FC Astana (Kaz),M34GD2Gt,IeATrtcs,,,scheduled,,https://www.flashscore.com/match/football/fc-astana-M34GD2Gt/noah-IeATrtcs/?mid=lrIHMXk3,2026-02-13T12:28:14.928541
ziM60qJb,07.02.2026,07.02.2026 10:00,Unknown,Pohronie,Banik Prievidza,MF3k2BPd,GSTtsLqt,2,0,finished,,https://www.flashscore.com/match/football/banik-prievidza-MF3k2BPd/fk-pohronie-GSTtsLqt/?mid=ziM60qJb,2026-02-13T12:28:14.992548
632vnCBF,07.02.2026,07.02.2026 10:00,Unknown,Polanka nad Odrou,Brumov,WSpInAkB,GjppWpLj,1,1,finished,,https://www.flashscore.com/match/football/brumov-WSpInAkB/polanka-nad-odrou-GjppWpLj/?mid=632vnCBF,2026-02-13T12:28:15.152554
Y1CJpsWG,07.02.2026,07.02.2026 10:00,Unknown,Slavia Prague U20,Pardubice B,tIYDbgDm,CrrN9wRN,0,1,finished,,https://www.flashscore.com/match/football/pardubice-tIYDbgDm/slavia-prague-CrrN9wRN/?mid=Y1CJpsWG,2026-02-13T12:28:15.296435
WOqCzy76,06.02.2026,06.02.2026 17:30,Unknown,Spisska Nova Ves,Lubovna,U7FOTziM,6Nr1mrIk,2,2,finished,,https://www.flashscore.com/match/football/spisska-nova-ves-U7FOTziM/stara-lubovna-6Nr1mrIk/?mid=WOqCzy76,2026-02-13T12:28:15.933369
rir0p7ET,07.02.2026,07.02.2026 10:00,Unknown,Tempo Prague,FK Komarov,hCiUSaf2,tfHXeFeQ,6,2,finished,,https://www.flashscore.com/match/football/fk-komarov-hCiUSaf2/tempo-prague-tfHXeFeQ/?mid=rir0p7ET,2026-02-13T12:28:16.642668
zuX0A5gJ,07.02.2026,07.02.2026 11:30,Unknown,Triglav,Rukh Lviv,pQAxlRVL,vuyqLqnk,4,1,finished,,https://www.flashscore.com/match/football/rukh-lviv-pQAxlRVL/triglav-vuyqLqnk/?mid=zuX0A5gJ,2026-02-13T12:28:16.707645
0AP3OBqC,07.02.2026,07.02.2026 10:00,WORLD: - Club Friendly,VfB Oldenburg (Ger),Jeddeloh (Ger),MgxTd1Lp,fLhfB37a,,,scheduled,,https://www.flashscore.com/match/football/jeddeloh-MgxTd1Lp/vfb-oldenburg-fLhfB37a/?mid=0AP3OBqC,2026-02-13T12:28:16.954109
M5iDn7w0,07.02.2026,07.02.2026 10:00,Unknown,Zlin B,Uhersky Brod,nBaemIaU,jJETZiAt,2,0,finished,,https://www.flashscore.com/match/football/uhersky-brod-nBaemIaU/zlin-jJETZiAt/?mid=M5iDn7w0,2026-02-13T12:28:17.071548
